file,tempo_bpm,zcr_mean,rms_mean,centroid_mean,rolloff_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma12_mean
IPFI1_Jux808_118_Em_Bass-118BPM-E minor-BANDLAB.wav,117.45383522727273,0.015485888532763533,0.10348189,326.9992244803467,611.3343850160256,-449.73322,137.27228,80.92096,51.227642,31.435286,18.78179,12.041604,8.817214,7.071218,4.707415,2.648404,1.9317774,1.7100773,0.5965626,0.57177114,0.6291274,0.6665645,0.7209257,0.7378866,0.70912194,0.6780546,0.6617426,0.6549208,0.6333174,0.634488
IPFI1_Jux_118_Em_EGuitar-118BPM-E minor-BANDLAB.wav,123.046875,0.03988164229671897,0.11410786,694.7166250694959,1231.2169487228066,-256.72485,204.55545,-18.667933,8.74723,12.648761,-20.535152,-16.0368,-17.099941,-13.340911,-7.0069966,-10.786141,-15.764539,-14.560109,0.21213411,0.20554729,0.5301642,0.2388999,0.13096634,0.08913398,0.31778088,0.7998317,0.2712538,0.17730369,0.11660488,0.26043218
IPFI1_Jux_118_Em_Guitar-118BPM-E minor-BANDLAB.wav,117.45383522727273,0.024703827121968617,0.057408907,711.5926909145041,1061.838800318741,-366.77747,145.22215,23.976023,22.97874,16.822071,11.127191,7.667728,-0.4232841,-5.8344707,-7.2870703,-15.583045,-13.532153,-6.5727043,0.11955998,0.10162023,0.1487001,0.16586803,0.21641564,0.19502288,0.3851855,0.73332393,0.49169135,0.3817523,0.27880284,0.18688475
IPFI1_Jux_118_Em_Piano-118BPM-E minor-BANDLAB.wav,123.046875,0.02819354047788873,0.042409647,458.70082856913547,834.0506865192582,-447.96692,200.6356,44.64705,-21.551907,2.0843709,20.171524,3.5442953,-11.873386,-9.727132,-3.9044898,-4.760532,-10.359386,-14.878601,0.124009214,0.16752651,0.45347536,0.34254554,0.32411167,0.24277838,0.4000862,0.638192,0.2397316,0.051916283,0.06462206,0.274394
IPFI1_KLE_108_Gbm_Guitar-108BPM-F♯ minor-BANDLAB.wav,215.33203125,0.04992707653394256,0.070823,784.1541065524011,1362.4810998184562,-347.44232,175.14606,-23.145205,-6.4134207,2.9620068,-24.994026,-24.979067,-24.600323,-25.306807,-16.600079,-14.8072195,-23.32033,-31.250763,0.22815545,0.5148784,0.2578514,0.24950396,0.53266394,0.17974573,0.29820132,0.12221142,0.26518336,0.11267879,0.09481223,0.20205113
IPFI1_LeadPast_179_Cm_Synth-179BPM-C minor-BANDLAB.wav,89.10290948275862,0.043477112080627704,0.080282964,1193.3767911429725,2258.5743297230115,-304.47513,89.4897,-29.685179,13.982008,-37.42311,-17.660269,-36.052177,-22.9636,-29.675581,-36.123783,-33.007374,-29.841011,-25.232883,0.18919069,0.07473739,0.15119949,0.35770378,0.14592762,0.13293585,0.1348149,0.3983282,0.3304806,0.08913253,0.053968355,0.072671406
IPFI1_Lead_124_Am_Synth-124BPM-A minor-BANDLAB.wav,123.046875,0.1315218855416042,0.042179182,1816.4128864597728,2954.875235721983,-426.74387,53.348927,-91.01839,-33.683167,-25.457169,-15.2737,8.562333,20.977425,29.252922,12.3665085,-34.621826,-30.140303,19.698944,0.2959283,0.08487043,0.089978285,0.075956665,0.113896534,0.040023725,0.05360937,0.07369083,0.15740536,0.4948309,0.16229948,0.40548748
IPFI1_LfoLead_124_Em_Synth-124BPM-E minor-BANDLAB.wav,123.046875,0.03647541463643179,0.07403539,779.6344090765426,1445.856124672039,-336.79108,168.21425,23.092348,23.149609,7.6208434,1.6691946,-8.507099,-8.043877,-13.06502,-13.707861,-14.498489,-12.642321,-13.031434,0.26400945,0.18900496,0.2820625,0.2073855,0.22462682,0.17246914,0.3102268,0.71518123,0.4843903,0.40339023,0.2687134,0.30917817
IPFI1_LostInside_128_Am_Keys-128BPM-A minor-BANDLAB.wav,129.19921875,0.1077490737757732,0.038549706,1274.2482854561847,1799.065822326031,-466.26553,71.48362,-55.762802,-54.7307,-23.239021,-13.691489,-17.9792,-13.778618,-3.6269708,4.580867,5.8051887,-3.7897844,-11.628488,0.028380724,0.0176245,0.093247175,0.040065903,0.17830692,0.1822779,0.07247688,0.2864782,0.10973922,0.3749584,0.08673881,0.2018893
IPFI1_Lost_128_Am_EGuitar_01-128BPM-A minor-BANDLAB.wav,129.19921875,0.04288921552835052,0.08326595,577.6255722203828,869.94140625,-406.79907,162.53508,11.894811,-22.226856,-11.181646,-17.210365,-17.631247,-16.123734,-23.423817,-26.348291,-18.628202,-14.9565325,-19.38069,0.2375687,0.055550016,0.015660739,0.05080501,0.19310664,0.21068329,0.14493611,0.31395996,0.20739271,0.33626044,0.16071992,0.2599133
IPFI1_Lost_128_Am_EGuitar_02-128BPM-A minor-BANDLAB.wav,129.19921875,0.048195876288659796,0.038710903,746.7865570281549,1262.778068621134,-414.0165,157.94942,-5.253133,2.9307864,9.885007,-10.166123,-11.367544,-11.973329,-13.084496,-14.713204,-23.93084,-26.131258,-16.301544,0.57250375,0.28643242,0.18110663,0.17191903,0.273218,0.19436704,0.15102302,0.17855333,0.19516273,0.3702059,0.40585876,0.66772217
IPFI1_Lost_128_Am_EGuitar_03-128BPM-A minor-BANDLAB.wav,129.19921875,0.04721830702319588,0.076469235,534.3457020884557,704.4687298646908,-442.79407,163.1169,64.31495,-16.992126,-49.69128,-51.180332,-45.07526,-37.019184,-25.51294,-13.92851,-7.969786,-9.837484,-16.24959,0.39152166,0.17967649,0.2974008,0.16986881,0.3993706,0.15224129,0.2607872,0.27184954,0.121823825,0.1830771,0.16018546,0.3795689
IPFI1_Lost_128_Am_Keys-128BPM-A minor-BANDLAB.wav,129.19921875,0.054339159149484534,0.07479038,645.1664526822917,921.4213011436856,-445.03647,166.69409,29.00993,-53.345783,-63.432194,-47.00291,-34.743984,-31.99701,-32.7639,-30.736784,-23.913536,-13.638352,-2.687129,0.31773618,0.07043787,0.1252591,0.09954732,0.3759481,0.25650856,0.119681194,0.36271754,0.16748127,0.41794908,0.13744944,0.34385547
IPFI1_Mandolin_100_E_Synth-100BPM-E major-BANDLAB.wav,135.99917763157896,0.09811622509057971,0.094795,1828.4368571370371,3437.5106148097825,-240.0701,79.80851,-42.69372,10.2316885,-38.434452,-31.499329,-18.53107,-4.593265,-11.7520895,-16.549864,-14.193763,-5.457057,-20.239923,0.043733116,0.009744649,0.014528154,0.08486427,0.481126,0.10346145,0.043816816,0.11112072,0.67788345,0.22923133,0.060136393,0.21964467
IPFI1_Muted_128_Am_Guitar-128BPM-A minor-BANDLAB.wav,129.19921875,0.021450144974226804,0.0647058,389.35170757178076,583.2390161887887,-435.07996,169.83624,42.767616,19.565327,16.561642,-5.0869884,-2.219912,11.483841,8.642995,-3.2945352,-12.0120325,-19.541803,-27.410948,0.30669186,0.14583479,0.124830395,0.14283963,0.2818399,0.3436927,0.25114885,0.3213354,0.2856213,0.30209422,0.23504986,0.30658668
